name,type,location,feelings,ailments,url,image,flavor,thc,cbd
Atomic Northern Lights,Indica,Holland,"Happy, Relaxed, Sleepy","Anxiety, Back Pain, Epilepsy, Muscle Spasms, Multiple Sclerosis, Neck Pain, Seizures",https://www.marijuana.com/strains/atomic-northern-lights/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/07/Northern-Lights-4-1024x682-351x185.jpg,"Earthy, Pepper",62,75
Atomical Haze,Hybrid,India,"Alert, Aroused, Creative, Energetic, Euphoric, Giggly, Happy, Inspired","ADD, Back Pain, Depression",https://www.marijuana.com/strains/atomical-haze/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/06/Atomic-Haze-Bud-351x185.jpg,"Citrus, Sweet",71,68
Banana Kush,Indica,Unknown,"Hungry, Lazy, Relaxed, Sleepy","Anxiety, Appetite, Back Pain, Muscle Spasms, Neck Pain",https://www.marijuana.com/strains/banana-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346123587066open_uri20110716_19794_8kaoik_jpeg_leader-351x185.jpeg,"Earthy, Sweet, Skunk",98,58
Berry White,Hybrid,Washington,"Creative, Energetic, Happy, Relaxed, Sociable","Back Pain, Depression, Headaches, Insomnia, Nausea, Neck Pain",https://www.marijuana.com/strains/berry-white-2/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/02/berrywhite_51171-351x185.jpg,"Pine, Skunk",3,99
Big Bud,Indica,Unknown,"Happy, Inspired, Sleepy",Nausea,https://www.marijuana.com/strains/big-bud/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346123753880big_bud_web_jpeg_leader-351x185.jpeg,"Earthy, Sweet",33,53
Big Wreck,Hybrid,Unknown,"Alert, Attentive, Creative, Energetic, Euphoric, Lazy","Insomnia, Nausea",https://www.marijuana.com/strains/big-wreck/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346267631416open_uri20110827_21713_10ukolh_jpg_leader-351x185.jpg,Berry,15,30
Bio Diesel,Hybrid,Unknown,"Anxious, Creative, Motivated","ADD, ADHD, Epilepsy",https://www.marijuana.com/strains/bio-diesel/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/bio-diesel-351x185.jpeg,"Sweet, Skunk",54,81
Black Beauty,Indica,Northern California,"Alert, Creative, Energetic, Relaxed, Sociable","Appetite, PTSD",https://www.marijuana.com/strains/black-beauty/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2017/01/blackbeauty-3-351x185.jpg,Citrus,24,86
Black Cherry Soda,Sativa,Pacific Northwest,"Energetic, Inspired, Sociable","Anxiety, Back Pain, Headaches, Insomnia, Migraines, Muscle Spasms, Neck Pain, Seizures",https://www.marijuana.com/strains/black-cherry-soda/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/08/Ace-Of-Spades-1-351x185.png,"Sweet, Honey",40,51
Black Diamond,Hybrid,Unknown,"Creative, Energetic, Sociable","Depression, Diabetic Neuropathy, Headaches",https://www.marijuana.com/strains/black-diamond/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/black-diamond-diamond-351x185.jpg,Earthy,48,83
Black Domina,Hybrid,Unknown,"Euphoric, Happy, Relaxed","Anxiety, HIV, Migraines",https://www.marijuana.com/strains/black-domina/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346267860180black_domina_jpg_leader-351x185.jpg,Earthy,2,29
Black Jack,Hybrid,Unknown,"Energetic, Happy","Epilepsy, Insomnia, PTSD",https://www.marijuana.com/strains/black-jack/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/black-jack-351x185.jpg,"Pine, Earthy",7,50
Black Widow,Indica,Unknown,"Anxious, Euphoric, Inspired, Sociable","Anxiety, Nausea",https://www.marijuana.com/strains/black-widow/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346123990790Black_Widow_jpeg_leader-351x185.jpeg,Sweet,52,29
Blackberry,Indica,Unknown,"Creative, Lazy, Solitary","ADHD, IBS, Neck Pain",https://www.marijuana.com/strains/blackberry/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/blackberry-351x185.jpg,"Pine, Pepper",83,92
Blackberry Kush,Indica,Unknown,"Attentive, Happy, Lazy, Relaxed","Anxiety, Depression, Psychosis, PTSD",https://www.marijuana.com/strains/blackberry-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346124082819open_uri20110720_30554_ax3x5o_jpeg_leader-351x185.jpeg,"Sweet, Pine, Earthy",83,63
Blockhead,Indica,Unknown,"Aroused, Creative, Lazy","ADD, Crohn's Disease, Radiculopathy",https://www.marijuana.com/strains/blockhead/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/blockhead-351x185.jpeg,"Citrus, Earthy, Lemon",35,61
Blue Cheese,Indica,Unknown,"Attentive, Energetic, Euphoric, Inspired, Relaxed","Arthritis, Back Pain, Headaches, Migraines, Muscle Spasms, Neck Pain",https://www.marijuana.com/strains/blue-cheese/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346124469708open_uri20110804_4701_5eghwf_jpeg_leader-351x185.jpeg,"Berry, Sweet",26,13
Blue Diesel,Sativa,Unknown,"Attentive, Energetic, Euphoric, Inspired","Anxiety, Arthritis, Back Pain, Headaches, Migraines, Muscle Spasms, Neck Pain, PTSD",https://www.marijuana.com/strains/blue-diesel/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346268842467open_uri20110721_30532_drv0jb_jpg_leader-351x185.jpg,"Berry, Sweet",89,81
Blue Dragon,Hybrid,Unknown,"Alert, Attentive, Creative, Euphoric","Anxiety, Arthritis, Back Pain, Crohn's Disease, Depression, Headaches, Migraines, Muscle Spasms, Neck Pain, Psychosis",https://www.marijuana.com/strains/blue-dragon/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346268925373open_uri20110903_13379_xfu9o8_jpg_leader-351x185.jpg,"Blueberry, Earthy, Pine",10,81
Blue Dream,Sativa,"California, U.S.","Creative, Energetic, Euphoric, Hungry, Motivated, Sociable","ADD, Anxiety, Appetite, Back Pain, Crohn's Disease, Depression, Epilepsy, Fibromyalgia, Glaucoma, Headaches, Migraines, Muscle Spasms, Neck Pain, PTSD",https://www.marijuana.com/strains/blue-dream/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/grow-nugs-1360-351x185.jpg,"Blueberry, Berry",43,86
Blue Hawaiian,Sativa,Unknown,"Alert, Happy, Sociable","Headaches, HIV, IBS",https://www.marijuana.com/strains/blue-hawaiian/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/blue-hawaiian-351x185.jpg,Blueberry,91,52
Blue Moonshine,Sativa,California,"Aroused, Euphoric, Happy, Relaxed","Anxiety, Appetite, Arthritis, Back Pain, Depression, Headaches, Insomnia, Migraines, Muscle Spasms, Nausea, Neck Pain",https://www.marijuana.com/strains/blue-moonshine/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/bluemoon_4645-351x185.jpg,"Blueberry, Grape, Citrus",22,31
Blue Sky,Sativa,Unknown,"Alert, Attentive, Energetic, Giggly, Motivated","ADHD, Asthma, Depression, Fibromyalgia, Glaucoma, Migraines, Neck Pain",https://www.marijuana.com/strains/blue-sky/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/07/blue_sky_sativa-351x185.jpg,"Blueberry, Earthy, Sweet",63,30
Blue Widow,Indica,Unknown,"Relaxed, Sleepy","Epilepsy, HIV, Insomnia",https://www.marijuana.com/strains/blue-widow/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/blue-widow-351x185.jpeg,"Citrus, Orange, Sweet",59,51
Blueberry,Hybrid,Unknown,"Euphoric, Relaxed","Anxiety, Back Pain, Headaches, Migraines, Muscle Spasms, Neck Pain",https://www.marijuana.com/strains/blueberry/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346117728382open_uri20110719_30554_1eid6fm_leader-351x185.jpg,Blueberry,84,37
Blueberry Haze,Hybrid,Unknown,"Alert, Attentive, Inspired, Relaxed","ADD, ADHD, Anxiety, PTSD",https://www.marijuana.com/strains/blueberry-haze/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/1346269525598open_uri20110822_31768_12hsfpa_jpg_leader-351x185.jpg,"Sweet, Earthy",36,59
Blueberry Kush,Hybrid,Unknown,"Hungry, Relaxed, Sleepy","Appetite, Arthritis, Back Pain, Headaches, Insomnia, Migraines, Muscle Spasms, Neck Pain",https://www.marijuana.com/strains/blueberry-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346125291505open_uri20110812_28216_1a34l6t_jpeg_leader-351x185.jpeg,"Earthy, Berry",50,18
Blueberry Skunk,Hybrid,Unknown,"Giggly, Hungry, Lazy","Asthma, Crohn's Disease, HIV",https://www.marijuana.com/strains/blueberry-skunk/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/blueberry-skunk-351x185.jpg,"Citrus, Lemon, Earthy",58,73
Bob Marley,Sativa, Jamaica,"Alert, Creative, Inspired","ADHD, Muscle Spasms, Nausea",https://www.marijuana.com/strains/bob-marley/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/06/Screen-Shot-2014-06-04-at-2.57.23-PM-351x185.png,"Berry, Blueberry, Sweet",43,90
Bruce Banner,Hybrid,Unknown,"Creative, Energetic, Euphoric, Inspired",Appetite,https://www.marijuana.com/strains/bruce-banner/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/07/BruceBanner1FElixGreen-351x185.jpg,"Earthy, Grape",56,97
Bubba Kush,Indica,Unknown,"Happy, Lazy, Relaxed, Sleepy","Arthritis, Back Pain, Headaches, Insomnia, Muscle Spasms, Neck Pain",https://www.marijuana.com/strains/bubba-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346125412019open_uri20110720_30532_6bt3r7_jpeg_leader-351x185.jpeg,"Blueberry, Sweet",43,44
Bubba OG,Hybrid,Unknown,"Anxious, Creative, Euphoric","Asthma, Hepatitis, IBS",https://www.marijuana.com/strains/bubba-og/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/bubba-og-351x185.jpeg,Skunk,38,90
Bubble Gum,Hybrid,Unknown,"Euphoric, Happy, Hungry, Inspired","Appetite, Arthritis, Back Pain, Headaches, Migraines, Muscle Spasms",https://www.marijuana.com/strains/bubble-gum/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346125857268open_uri20110827_21693_kg36dg_leader-351x185.jpg,"Berry, Earthy, Pine",90,17
Bubbleberry,Hybrid,Unknown,"Happy, Motivated, Relaxed","ADD, Depression, Nausea",https://www.marijuana.com/strains/bubbleberry/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/bubbleberry-351x185.jpg,"Berry, Blueberry",44,60
Buddha&#8217;s Sister,Hybrid,Amsterdam,"Attentive, Creative, Euphoric, Giggly, Relaxed","Arthritis, Asthma, Back Pain, Crohn's Disease, Headaches, Muscle Spasms, Nausea, PTSD",https://www.marijuana.com/strains/buddhas-sister/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/10/d45812717867fc6e464ca49fab45b595-351x185.jpg,"Berry, Earthy",13,56
Bullrider,Indica,"San Diego, California","Creative, Giggly, Hungry, Relaxed","ADHD, Depression, Diabetic Neuropathy, Epilepsy, Fibromyalgia, IBS, Insomnia, Migraines, Nausea, PTSD",https://www.marijuana.com/strains/bullrider/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/09/dedbd4087f76e9523ca3ed360dddc999-351x185.jpg,"Sweet, Blueberry",59,43
Burmese Kush,Hybrid,Unknown,"Attentive, Creative, Euphoric, Inspired, Lazy, Relaxed, Sleepy","Arthritis, Back Pain, Headaches, Insomnia, Migraines, Muscle Spasms, Neck Pain",https://www.marijuana.com/strains/burmese-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346270087477fname_jpg_leader-351x185.jpg,"Blueberry, Sweet, Berry",84,54
Cannalope Haze,Sativa,Amsterdam,"Alert, Anxious, Aroused, Attentive, Creative, Energetic, Euphoric, Giggly","Appetite, Crohn's Disease, Depression, Diabetic Neuropathy, IBS",https://www.marijuana.com/strains/cannalope-haze/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/Cannalope_Haze_Marijuana_strain_review-351x185.png,"Blueberry, Berry, Skunk",56,71
Casey Jones,Sativa,Unknown,"Energetic, Euphoric, Inspired","ADD, ADHD, Anxiety, Migraines",https://www.marijuana.com/strains/casey-jones/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346270252983open_uri20110916_9444_1o2wsf6_jpg_leader-351x185.jpg,"Earthy, Sweet",53,42
Cataract Kush,Indica,Spain,"Euphoric, Giggly, Lazy, Relaxed, Sleepy","Appetite, Asthma, Back Pain, Crohn's Disease, Epilepsy, Insomnia, Migraines, Muscle Spasms, Neck Pain",https://www.marijuana.com/strains/cataract-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/08/Cataract_Kush_Marijuana_Strain_Review-351x185.png,"Sweet, Earthy",80,35
Caveman Kush,Indica,"California, U.S. ","Euphoric, Hungry, Relaxed, Sleepy","Back Pain, Headaches, Insomnia, Nausea, Neck Pain",https://www.marijuana.com/strains/caveman-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/06/Screen-Shot-2016-02-17-at-6.50.14-AM-351x185.png,"Citrus, Orange, Sweet",96,15
Champagne Kush,Hybrid,Unknown,"Creative, Euphoric, Happy, Motivated, Relaxed, Sociable","Anxiety, Back Pain, Depression, Muscle Spasms, Neck Pain, Psychosis, PTSD",https://www.marijuana.com/strains/champagne-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/Burmese-Kush-marijuana-strain-351x185.jpg,"Earthy, Sweet",59,32
Cheese,Indica,Unknown,"Lazy, Relaxed","Arthritis, Insomnia, Nausea",https://www.marijuana.com/strains/cheese/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346127503479open_uri20110827_21681_139yxxv_jpeg_leader-351x185.jpeg,Earthy,26,47
Chemdawg,Hybrid,Unknown,"Creative, Euphoric, Happy, Inspired, Relaxed","ADD, ADHD, Anxiety, Appetite, Arthritis, Asthma, Back Pain, Cachexia, Crohn's Disease, Depression, Diabetic Neuropathy, Epilepsy, Fibromyalgia, Glaucoma, Headaches, Hepatitis, HIV, IBS, Insomnia, Migraines, Muscle Spasms, Multiple Sclerosis, Nausea, Neck Pain, Psychosis, PTSD, Radiculopathy, RLS, Seizures",https://www.marijuana.com/strains/chemdawg/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346189800213open_uri20110716_19794_bqbsd1_jpeg_leader-351x185.jpeg,Grape,17,36
Chernobyl,Sativa,Pacific Northwest,"Anxious, Happy, Relaxed","Crohn's Disease, Epilepsy, Glaucoma, Headaches, Insomnia, Multiple Sclerosis, Nausea, Psychosis, PTSD",https://www.marijuana.com/strains/chernobyl/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/mjgrow_5-351x185.jpg,Earthy,1,27
Cherry Kush,Hybrid,Unknown,"Attentive, Inspired, Lazy","Anxiety, Back Pain, Nausea",https://www.marijuana.com/strains/cherry-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/cherry-kush-351x185.jpg,"Earthy, Lemon",72,12
Cherry Pie,Hybrid,Unknown,"Anxious, Happy, Inspired","Crohn's Disease, Migraines, Neck Pain",https://www.marijuana.com/strains/cherry-pie/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/cherry-pie-351x185.jpg,Citrus,45,92
Chiesel,Sativa,Big Buddha Seeds,"Euphoric, Giggly, Happy, Hungry, Lazy","Anxiety, Appetite, Depression, Migraines, Nausea",https://www.marijuana.com/strains/chiesel/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/06/chiesel-3a-351x185.jpg,"Sweet, Citrus, Mint",49,71
Chocolate Chunk,Indica,Unknown,"Lazy, Relaxed, Sleepy","Migraines, Muscle Spasms",https://www.marijuana.com/strains/chocolate-chunk/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/choco-chunk-cover-351x185.jpg,"Sweet, Earthy",99,34
Chocolope,Sativa,Unknown,"Energetic, Inspired, Relaxed","Anxiety, Appetite, Back Pain, Depression, Headaches, Insomnia, Migraines, Muscle Spasms, Neck Pain",https://www.marijuana.com/strains/chocolope/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346190162392Chocolope_NEW_FINAL_jpeg_leader-351x185.jpeg,"Sweet, Lime",20,60
Cinderella 99,Hybrid,Unknown,"Anxious, Inspired, Motivated","ADD, Asthma, RLS",https://www.marijuana.com/strains/cinderella-99/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/Cinderella-99-351x185.jpg,"Sweet, Lime",88,92
Confidential Cheese,Indica,California,"Euphoric, Inspired, Relaxed","ADHD, Anxiety, Appetite, Back Pain, Epilepsy, Headaches, Muscle Spasms, Neck Pain, Seizures",https://www.marijuana.com/strains/confidential-cheese/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/08/thenug-ufXrXlol0x-351x185.jpg,Sweet,67,29
Cotton Candy,Hybrid,Unknown,"Aroused, Inspired, Motivated","Arthritis, IBS, RLS",https://www.marijuana.com/strains/cotton-candy/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/cotton-candy-351x185.jpg,"Sweet, Lavender",78,91
Cough,Sativa,Unknown,"Anxious, Aroused, Hungry","Cachexia, Crohn's Disease, Headaches",https://www.marijuana.com/strains/cough/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/cough-351x185.jpg,"Earthy, Pine",92,96
Death Star,Sativa,"Ohio, U.S.","Alert, Inspired","ADHD, Anxiety, Arthritis, Asthma, Epilepsy, Fibromyalgia, Migraines, Muscle Spasms, Multiple Sclerosis, Nausea, Neck Pain, Seizures",https://www.marijuana.com/strains/death-star/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/Death_Star_Marijuana_Strain_Review-351x185.png,"Sweet, Earthy",32,28
DHN Platinum Girl Scout Cookies,Hybrid,California,"Euphoric, Lazy, Sleepy","Appetite, Back Pain, Headaches",https://www.marijuana.com/strains/dhn-platinum-girl-scout-cookies/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/06/cookie_9093-351x185.jpg,"Earthy, Pine, Sweet",60,38
Diesel,Sativa,Unknown,"Creative, Energetic, Euphoric",Anxiety,https://www.marijuana.com/strains/diesel/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346190642973open_uri20110716_19794_zvn47d_jpg_leader-351x185.jpg,Earthy,82,39
